ag;name
3;G-560A Насос дозирования приема перекиси водорода
3;Датчик EJX530A-EBS7N-019DN/CS1/N4
5;ВЫКЛ.АВТ АВ2М10Н-53-41 УХЛ3, 800А СТАЦ,
11;ПРИБОР ФЦ 502-0070-180-150П
3;Мультиметр цифровой 6,5 Agilent Technologies
8;КАМЕРА КСО
1;Насос БЭН 284 Н-29а
4;"Регистратор ""Экограф"""
8;ПАНЕЛЬ
12;Преобразователь изб.давления2500kPa
8;КАМЕРА КСО-272-4
9;Эстакада
12;Автоматический выключатель АВ2М4СВ-55-41 УХЛ 115-0
12;Насос 2ЦГ 25/50 К-5,5-2
5;пункт ПР-9322-40 РП-2
7;Площадка для кран-балки
8;КАМЕРА С ВЫКЛЮЧАТ. ВМГ-113, РАЗЪЕДИН. РВ-6,
3;Рация PD715Ex с/н 18607А0114 + выносной микрофон
11;НАСОС ВИНТОВОЙ 16-20 / 10 С ЭЛ. ДВИГАТЕЛЕМ
9;Парк сжиженных углеводородных газов (титул 01-2)
2;Насос НД 100/10 к-с 1231
10;1-комн. квартира № 78 по ул. 60 лет Октября
1;Сигнализатор 1-кан.  Щит-2-7 с ДТХ/01030
8;КОНДЕНСАТОРНАЯ УСТАНОВКА УК-038-220
9;Корпус 1093 Склад ЛВЖ
3;ПРЕОБР.EJX530A-EBS7N-019DN/KS21/D4/N4/QR
1;Переносной порошкообразный огнетушитель
3;Комплект портативного терминала МТР850Ех НИУС.4292
1;Смеситель для гранул Рх-1012
2;Коммутатор Catalyst 3560
3;ГОЛОВКА ИЗМЕР.POLYTRON IRCEN334
3;Пирометр (термометр радиационный) Raytek ST20
2;Структур каб система серверного поммещения к 1003
3;Комплект портативного терминала МТР850Ех НИУС.4292
5;Кондиционер Fuji RSW 18НВ каб.902 з.1001
8;КАМЕРА КСО-272
1;Аппарат КВО-21Д
7;Станок 2М 112 Э зав.N 118216
7;Клапан Masoneilan Camflex 35-35222 Ду50 Ру40 VI Cv
7;Станок настольно-сверлильный 2М-112 1492
11;ПРОД.СТРОГА ЛЬНЫЙ СТАНОК ОДНОСТОЕЧНЫЙ
6;АППАРАТ С МЕШАЛКОЙ ГУМИРОВАН. ЭБОНИТ
6;Резерв. для охл. воды инв.№ 3017
9;Наружное освещение и молниезащита
2;Клапан Vetec82.7,DN50,PN40 (XV1953)
1;Адсорбер
6;Панель ПМН
1;Тумба Р6520, бук
2;Расходомер AXF080C-E2AL1N-BD21-41B/SCT
1;АГРЕГАТ GRASSO SP1 XDB-5A С КОМПЛЕКТ.
12;Аппарат дыхательный MSA AUER AirXpress Fire-Z (101
5;Разрядник вентильный РВС 35М У1
7;Центральный тепловой пункт
4;Задвижка 30с41нж ф200 Ру16 с ОФ
3;Комплект(термост с поверк) приспособл д/провед исп
8;Сепаратор приемный С-103
6;Станок сверлильный 2С-132
2;CAB-800W/2100H Стандартный шкаф
7;Преобразователь Endress+Hauser поз. PITX220E25
1;Шкаф пожарный ШПК-310 НЗК
7;Рессивер дренажный Е-1
6;Механизм фланцегибочный СТД-94
7;Клапан Masoneilan 88-21115 Ду25 Ру64 IV Cv1,7 НЗ C
4;Десикатор для гигроскопичных материалов Selecta
3;ГОЛОВКА ИЗМЕР.POLYTRON IRCEN334
10;Зд.116 Админист.-бытовой корпус
12;Запально-сигнальное устройство ЗСУ-ПИ-45-01
6;Линии телефонной связи ( 46 кв)
9;Корпус429 газголдер воздуха КИП (сооружение)
7;Емкость Е103А из н/ж стали  V=25м3
8;ЩИТ- 500 В
7;Теплообменник Т-2
3;Расходомер KROHNE OPTIFLUX 2300 809292
4;Шкаф-стекло, art 646.
7;Калибратор температуры ISOTECH Saturn 877
6;АППАРАТ 3- Х СЕКЦИОННЫЙ 302
2;Агрегат насосный сист.фильтрации НА 82-04 (Б-171)
8;ТРАНСФОРМАТОР СИЛОВОЙ
4;Стол компьютерный с тумбой/PR/160cм(бук)
6;Дорожка беговая BRONZE GYM T802LC
3;G-320A-насос кубовых реабсорбера тит. 1202
11;НАСОС ТЕХНОЛОГ. № 121/6
10;Здание насосной кор.651
6;Корпус №-264 градирня
5;Клапан регулир. ДУ-100 инв. № 6451
4;Шкаф файловый FC 47х50х102 А-57 /вишня/ к.1120
8;Аппарат воздушного охлаждения 300.4 АЕ-1/1 АВГ БМ-
10;Здание котла N 6 зав.N 101 к.3001
3;Радиостанция Motorola DP4401Ex SN:627TUR4205
10;Корпус 1078
7;ЭЛЕКТРОТАЛИ
4;Шкаф для одежды
1;Сварочный преобразователь
8;Блок-бокс электронного оборудования 732
10;Здание склада катализ,реагент.к.567
8;Жилое помещение-квартира № 5 в доме № ВЧП-26, микр
6;Теплообменник
9;Сепаратор факельный С-505
12;Шкаф вытяж.модул.цельномет(столеш.-KS 12)с водой,
12;Расходомер Magnetrol Thermatel XTA2-A1B0-941/TMR-A
5;Емкость ГКК 1-1-25-0.07 09Г2С (210248), Е1
11;Насос ЦГ-100/32К-15-5     Н-18/1
4;Ротаметр 5к6948-1 XL-200 (311060), FG-4132
1;Насос с моном. Р 5716 I G-815S
8;Шкаф (хранилище) для газовых баллонов ХГБ-05
11;Здание химводоочистка кор. №40
1;Ключ гидр.Duplex 10МХТА
11;УСТРОЙСТВО МС-5405
7;Помещение контрольного управления (ПКУ) 583
1;Теплообменник  Т-510
11;Насос дозирующий (N-Р 41 нем.)
2;Компьютер SONY VAIO VPCL22Z1R/B/CPU Intel Core i7-
12;Концентратор К-1151-4/010300033/
11;№ 90549 ПОТЕНЦИОМЕТР КСП-4 И 50МВ
2;Сигнализатор уровня радиоизотопный
6;Контейнер 20 тн
10;ВЫШКИ СТОРОЖЕВЫЕ
9;Парк хранения пиролизной смолы (тит.8133-б)
6;Охр.сигнализация
2;ШАССИ КОММУТАТОРА CATALYST 6500 ENHANCED
9;Оборудование корпуса 1185
4;Смартфон i.safe MOBILE IS520.1
4;КЛАПАН SS 3241 DN32 PN40 KV2.5 НО
8;Блок-бокс электронного оборудования 810
5;ЕМКОСТЬ ПОДЗЕМНАЯ V=2 М3
9;Блок аэротенов
10;Квартира 3-х комнатная № 15 пл.89,70 кв.м
3;ДАТЧИК EJX530A-EBS8N-019DL/KS21/N4/D4
8;Гараж для снегохода 775
2;Вентилятор У-4-70 с эл.двигателем к-с 1240
12;ЩИТ щп - 3д
11;КОНТЕЙНЕР ДЛЯ ПЕРЕВОЗКИ ТИБА
11;Сепаратор №635 V-2,5м3 С-364/3
10;ПРОЖЕКТОРНАЯ МАЧТА - ТЕРРИТОРИЯ  З-ДА
5;КАПЛЕОТБОЙНИК №501/4
1;Лестница 3х15
9;Пожарный резервуар (титул 09-1)
7;Механический ф-тр № 1 с обвязкой к\о
10;ЗДАНИЕ БЫТОВЫХ ПОМЕЩЕНИЙ Ц.66
4;Эстакада от опоры №324 до опоры №326, у цеха 91
11;КОНТЕЙНЕР ДЛЯ ТИБА ТЕХН.№ 512
9;ПОДПОРНАЯ СТЕНКА лит.444А
6;ТЕПЛООБМЕННИК  тех№18 (рег.№750)
5;Пункт ПР-2 к-с 1214/3
2;Буферная емкость Е-11-3
7;Магазин запаса ЮКЛ-16
10;Эстакада от опоры №724 до опоры №731, от ц-№91а до
2;Стояк для налива нефтепродуктов верхний АСН-4ВГ мо
5;Устр-во электрооб.дрен.труб.от С-103 до К-201/1-4
5;Датчик давления EJA120A-DЕS2А-27DС/KS2/D4
9;Фильтр V=1,5 м3 № 3. Блок подготовки топливного га
5;Отсекатель NS30390(39)
2;Щит ЦПУ 130-Щ
12;Частотный привод UABX 300-GS
4;станция дозирования раствора гипохлорита DST-1000-
11;ВАКУУМНЫЙ НАСОС ВВН-1-12
4;Кресло для посетителей 352
10;Технологическая эстакада
10;Емкость Е-121 а
8;КАМЕРА КСО-5
3;Системный блок Celeron 330J 2.67GHz сер.№ 26412
8;Теплогазоматериалопроводы
4;Стол компьютерный дет. СтК-01 ольха к.1120 Дронов
10;Здание регенирации гликоля
3;Датчик  Yokogawa EJX530A-EBS7N-019DL/CS1/QR в комп
7;Головка водяная ЮКЛ-0501150-01
6;Эл.двигатель 4АМ 80А
1;Шкаф металлический 2 шт. корпус 116 каб.205,206
1;Насос с моном. Р 5210 I G-714
5;Шкаф вытяжной для работы с ЛВЖ 1500 *740*2250мм,ШВ
6;ШКАФЫ РАЗДЕВАЛЬНЫЕ МЕТАЛЛИЧЕСКИЕ ИНВ №96123
9;корпус 1202
7;Сети внеплощадочные водоснабжения
12;Насос 4ЦГ 50/50-К-11-5 У2 поз.Н-402(НТР,РСГ,ЩО)
3;ПРЕОБРАЗ.EJA118W-EMSD2EA-BA10-97DB/KF2/Q
6;Система радиосвязи на базе стандарта DMR ВяКЦ
11;Воздухосборник V=25м3
1;Насос G-16B
4;Насос 1 Д315-71 Н 86а
7;Трубопровод хим.загр.стоков на пл.НСК-3
12;Реактор выходной LR3-055
1;Металлический ящик для хран. использованной ветоши
3;Теплообменник-испаритель Т-121 АВ
7;КНС производственно-дождевых сточных вод 2
9;Градирня 1-Г-754 Б
7;Центральный пункт управления(здание) Т.6000/6
7;Станок строгальный 7М37
2;Ноутбук Lenovo ThinkPad X280 20KES4WS00)+Dock 90W
1;Подставка h=1,5м к многогранной опоре черт.21.001.
5;Сигнализатор СТМ-10-0001 ПБ
8;"АТС ""Меридиан"""
7;Подъездная автодорога от а/д г.Нягань-п.Талинка до
4;Смартфон i.safe MOBILE IS520.1
2;ШКАФ КОММУНИКАЦ. СТ-13.05.090-004-ВО
7;Внутриплощадочные сети бытовой канализации,
9;Бак обессоленной воды №1 с обвязкой о\у
8;КАМЕРА ОТХОДЯЩЕЙ ЛИНИИ
12;Шкаф управления задвижками 1-ШК3 (800*2200*800)ком
11;НАСОС ТЕХНОЛ. № 5/2
9;Фильтр сырьевого газа 1/2 А-104 УПГ-2
11;НАСОС С ЭЛ. ДВИГАТЕЛЕМ 20НДС
7;Клапан Masoneilan Camflex 35-35212 Ду80 Ру40 IV Cv
8;Перевод стрелочный №41 к пути №32 56п/м
8;КАМЕРА КСО-272
12;Датчик изб.д-ния EJA430A-DBS2A
9;здание для изготовления металлоконструкций и
6;Кипятильник тех. №141-Б/1 вертикальный
1;Твердомер ТШ-2М зав.N 310
2;Насос 2ХГ-4 К-10
1;Газосепаратор инв. № 6056
9;Сепаратор газа М-106-СТ
4;Стеллаж зд.1013 каб.502 КО
5;Емкость масла V=1м.куб. поз.ЕЗ/2 зав.№ 1309
2;СБ ПЭВМ VIDEOMAX-URM-2M-ID3
5;Датчик дифференцированного давления EJA130A-DMS4A-
9;Рессивер V -20 м3 поз.13
12;Датчики дифф.давления STD120
9;Рессивер V -20 м3 поз.15
3;Газоанализатор ДАГ-500 4-х сенсорный
4;Кондиционер мобильный GREE KY-20
10;ТЕХНОЛОГИЧЕСКИЙ ГАЗОПРОВОД ВЫСОКОГО ДАВЛЕНИЯ
8;Стеллаж паллетный спаренный
11;Насос Х160/49 с эл.двигателем
4;ПРИБОР САПФИР 22М
9;Фильтр V=1,5 м3 № 3. Блок подготовки топливного га
9;Система пожаротушения автоматическая на базе пожар
2;Клавиатура оператора мембранная AIP827-2
5;Система технологического видеонаблюдения ПХУ-2
2;Кондуктометр МАРК-603
1;Станок точильно-шлифовальный ТиПА-7
9;Наружные сети канализации
9;Реакторный блок (этажерка В)
7;Трансформатор трехфазный  SGB DTTHL 1000/6/0 с мед
3;УРОВНЕМЕР FMR245
6;Шкаф КИП
3;Установка ИПГР Крок-2.2 в компл.с редукт. - 1 шт.
2;Клапан Vetec 82.7, DN50, PN40(КV113А)
10;ЗДАНИЕ ПРОИЗВОДСТВЕННОГО ЦЕХА
9;Факельная установка (титул 03-1)
10;Сборник азота 8-120 АВС
2;Вентилятор ВЦ 14-76
5;Уровнемер PS61 XXAGPHKMAX
12;Сборник масла №1 Е-703
6;Контейнер Д1 V = 100 л
12;МТ100Р-12231-02-0,5-,5мПа-42-У(-50+80оС
6;электропривод В-Б1-03-Б 0.99.099-03 М1
6;Теплообменник техн. №71-1№71/2
10;Бачок Е-373А/4 В1-608.00.000
6;Газосепаратор С-252
6;Электрооборудование
6;ОТДЕЛИТЕЛЬ
2;Маршрутизатор Cisco 2821 Voice Bundle, PVDM2-32, S
8;КАМЕРА
10;ПОМЕЩЕНИЯ  БЫТОВЫЕ И ВСПОМОГАТЕЛЬНЫЕ ЦЕХА ПОЛИМЕРИ
11;СПЕКТРОФОТОМЕТР
10;ЗДАНИЕ П / СТ.№47
6;ШКАФЫ РАЗДЕВАЛЬНЫЕ МЕТАЛЛИЧЕСКИЕ ИНВ №96123
11;СБОРНИК ТЕХН.№ 76/ 2
11;БАЛАНС.-ИЗМЕР.ПР.АК1
6;АП.ВОЗДУШ.ОХЛАЖД.
2;Снегоуборщик SunGarden STG 65 SE
