ag;name
2;Расходомер PROMASS 80F25 DN25 1*№80 I25-
2;Радиостанция Motorola DP4401Ex (MDH56QCC9LA3AN)
4;Датчик диф. давления Yokogawa EJA110A-DMS2A-67DC/K
0;Хим . оборудование/аппарат 201-123-001/В-3
2;Датчик многопараметрический Yokogawa EJX910A-EMS5J
10;Хроматограф ЛХМ-80
10;Ячейка КРУ КВЭ
4;Клапан ф15х40 CV0,63 331-336,341 <1>
10;КОЛОДЦЫ ПОД ПОЖАРНЫЕ ГИДРАНТЫ С АРМАТУРОЙ
2;Аппарат копировальный Mita KM-1620 А3
5;МОТОР-РЕДУКТОР ЗМП-50-28
0;Шкаф пожарный ШПК-310 НЗК
0;Стеллаж
8;корпус 1239
5;Панели ПБШ ПКР
9;Бачок с внутренним подогревателем В1-471.00.000.КБ
8;ТРУБОПРОВОД
2;Газоанализатор Солярис
7;ТРАНСФОРМАТОР ТМ 180 / 6
7;Здание 1164/1
0;Теплообменник 426 ТКГ корп.437
6;Станок токарно-винторезный ТТ 160635
11;ШС-6) Шкаф силовой насосных станций обратного осмо
0;Насос 14В
11;Земельный участок 59:01:47 1 6054:91
0;ТЕЛЕФОН ВСЕПОГОДНЫЙ ПРОМЫШЛЕННЫЙ RESIS TEL C.21
1;Терминал информационный SAGA С-19
3;Термопреобразователь сопротивления ТС075-100П.В3.1
2;Газоанализатор BW Technologies GasAlertMicroClip X
11;Электронасос НЦГ 6,3/75-К-5,5-1 У2 ТУ 3631-004-138
7;Железнодорожный путь № 36-вытяжной (титул 8111а) (
4;Вентсистема П-7
4;Реактор Р-4в
3;ВЫКЛ.BB/TEL-10-20/1000-E2-047
2;Газоанализатор VENTIS MX4 (VTS-K0002111719)
10;Часовая станция 15Э165 зав.N 24548601
9;Мастерская ремонта узлов компрессоров
7;Железнодорожные пути №35
11;Реактор Р-701А 1000ТНВ-6-М19-С
6;Операторная
1;Видеотерминал Polycom RealPresence Debut+микрофон
6;Клапан Masoneilan 88-21114 Ду50 Ру40 Cv46 НЗ CF8M
10;КОРПУС 36
6;Магистральные теплогазоматериалопроводы
10;Реактор V-15м3
5;Силовые эл/тех. и распределители
11;Калорифер КСК 4-10
4;Прибор ПАС-01 о604Д
10;"ПИШ.МАШИНА ""РОБОТРОН"
7;Сейф ASM-120T/2 1200х550х390
5;Теплообменник технол. № 128
9;Аппаратная наливной эстакады. Трансформаторная под
8;Бак декарбонизованной воды № 2 с обвязкой п.к. II
10;Потенциометр эл. КС П-44
8;Осушитель воздушный
7;Сепаратор приемный С-201
7;Сепаратор центробежный вертикальный СЦВ-7-325 поз.
10;СТОЛ ХИМИЧЕСКИЙ ЛАБОРАТОРНЫЙ ИНВ №76622
2;Электоронасос ЭЦВ 8-25-100 (602)
8;Емкость кислородная № 930432
8;Адсорбер для газа К-201/4 (НОиО)
0;Гайковерт Jonnesway JAI-6225 48741
11;Конденсатор 600КВНВ ТУ3612-007
3;"Стол письменный с тумб. ""Кадет"" 140х64"
7;1-этажное здание склада с рампой
5;Автомат Э 16 1600А
8;Вертолетная площадка 742
11;Преобразователь UAVX120065
6;Трансформаторная подстанция КТПН 779-1
7;КАМЕРА С ВЫКЛЮЧАТЕЛЕМ ВНГ-113, РАЗЪЕДИНИТЕЛЕМ РВ-6
6;Трансформатор ТСЗ-160
2;ПРЕОБРАЗОВАТЕЛЬ EJX530A-EBS7N-017DN/KS21/N4/D4/QR
1;Маршрутизатор Cisco 3925 w/SPE100 (CISCO3925/K9)
7;ПАНЕЛЬ
11;Шкаф сушильный для спецодежды и обуви DION PRO
3;Пресс-форма ф16х10 ASTM D5963 948442
3;Датчик EJA530A-EBS4N-07NE/KU2/QR
2;Блок системный НP AF842AW DC7600 P-4-630
0;Кран мостовой
6;ЭЛ. КАБЕЛИ ЯЧ. 18 ТР-Р 1000КВА
4;Насос Ливгидромаш Д200-36
4;Источник Б.П.DELPHYS МР 60 ква 3/3 380в
11;Разъединитель РВР-Ш-10/2000МУЗ
0;"Вентилятор напольный ""Скарлет SC-175"""
2;Принтер HP LJ 1300
8;Бак хим.очищенной воды № 2 с обвязкой п.к. II
3;Комплект для тех обслуживания, арт MGTRV00910
3;Шкаф ШК-0-6 для коммутации каналов и контроллеров
2;Расходомер Yokogawa ROTAMASS RCCT39-DH1A08D4SL/KF2
11;"Уголок ""Буш""(офисн.раб.модуль ч/с)"
8;Модуль пожаротушения МПТХ 65-100-50 ЭМ
6;Кран мост.эл.однобал.5т,выс.п.20м12м
6;"Автокран ""Либхер"" гос.№С449ЕВ"
10;НАСОС ХИМИЧЕСКИЙ
4;клапан Ду25 Cv18 н/ж Реглоб
10;Насос центробежный  тип AХ45/31 с эл.двиг.
7;Трансформатор ТМ-1000/6
1;автотележка имп. к-с 1243
10;Газоанализатор УГ-2
10;РОТАМЕТР РПФ-1
4;Щит 6000х5000х2500 ТУ 4271-012
2;Охладительная установка Р30S
0;Тумба Р6520, бук
4;Сепаратор С-102
10;ЗАПАДНЫЙ РЕЗЕРВУАР №809-Б
3;Морозильный ларь ELCOLD CSG-45
7;Блок-бокс электронного оборудования 810
4;Клапан Ду25 Cv6.н/ж Максфло
2;"Комп.Intel Cel.2.6/256Mb/40.5Gb/CD-ROM/17""LG"
5;КОЛОННА НАСАДОЧНАЯ
10;Цистерна железнодорожная № 022 (нефтебензиновая)
11;Маслохолодильник В-101
2;Комплект портативного терминала TETRA во взрывозащ
4;Расходомер элект.ADMAG AXF015C-PNAL1S-BD
5;Модуль порошкового пожаротушения МПП(Н)-ОПАН-100-К
8;Адсорбер К-201/2 /НОиО/ для газа
0;Подстанция ТП-22
8;ТГМП к складу ЛВЖ протяженность 2 638 м.п.
3;Фильтр для очистки воды
8;Корпус 1176 Насосная оборотного водоснабжения
9;Емкость Е-0200 черт. 11486.00.00 СБ
11;Щит 567-ЩУ
11;Устройство плавного пуска RVS-DN310
11;"Баня масляная ""Precisbat"" 4-х местная"
6;КАБЕЛЬНЫЕ СЕТИ ЭЛЕКТРОСНАБЖЕНИЯ Ц. ДК-2Б НАПР1КВ
9;ГПП-3 (1этаж здание)
5;Вентилятор ВЦ3-15-8-02 Ал-02У2 П-2
7;Стрелочный первод №115 на территории цеха Д-1
2;Рация PD715Ex с/н 18607А0225 + выносной микрофон
7;Ж/Д ПУТЬ №49 ИЗ РЕЛЬСОВ Р-65 П/М 268,8
2;Телефон М3820 с модулем расширения
8;Фильтр Donaldson
4;Трубопровод
1;Модуль соединительный EC401-10
9;ЧАСТЬ ПРОИЗВОДСТВЕННАЯ Ц №24
1;Колориметр DR 900
6;TPAHCФOPMATOP 6/0 4-250К
2;ПРЕОБР.EJX530A-ECS7N-017DN/KS21/N4/D4
0;Электромясорубка инв. № 6387
3;Станция загрузки мешков 1-Х-452
9;ЗДАНИЕ ПРОИЗВОДСТВЕННОГО ПОМЕЩЕНИЯ
1;Сервер устройств с интерфейсом (переходник N-Port
1;Анализатор частиц Retsch CAMSIZER P4 (101.0001-1)
7;ТРАНСФОРМАТОР ТМ 1000 / 6
1;Ноутбук Lenovo ThinkPad (20K5S0TA00)
8;Фильтр сырьевого газа 1/2 А-104 УПГ-2
1;Блэйд-шасси HP BladeSystem с7000
4;Теплообменник  Т-315В
8;Бак нейтрализации № 1 с обвязкой о\у
7;КОНДЕНСАТОРНАЯ УСТАНОВКА
8;ФУНДАМЕНТ ПОД ИСПАРИТЕЛЬ ДЛЯ ЁМКОСТИ  НИЗКОГО ДАВЛ
6;Кран мостовой эл. подвесной
3;балансировочный станок ВМ300
6;Станок настольно-сверлильный 2М-112 1492
2;Датчик абсолютного давления EJA310A-EМS4
11;Насос GALA 1602 PPB 16Bar, 2,1л/ч, 220В переменног
11;Подающий насос для декантирующей центрифифуги (Р 2
2;Коммутатор Cisco Catalyst 3750G-48TS-S (WS-C3750G-
2;ДАТЧИК ROTAMASS RCCS34-M01D4SL/KS1/QR1
1;КОМПЬЮТЕР ПРОМЫШЛЕННЫЙ SIMATIC IPC547C
11;Шкаф сушильный для спецодежды и обуви DION PRO
5;Противовзрывное устройство МЗС
2;Принтер HP LaserJet 1320
3;Стол лаб.1200х800х750 столеш-пласт (Л-33)
3;Смартфон i.safe MOBILE IS520.1
6;Станция обезжелезования
5;Предфильтр ПФП-1000
0;Шкаф пожарный ШПК-310 НЗК
9;сооружение: Канализационно-насосная станция №1
2;Блок системный НP AF842AW DC7600 P-4-630
3;Клапан запорно-регулируемый РУСТ 410-1 У Ду 65
8;Корпус 1207-склад реактивов
11;Емкость Е-121
2;СУШИЛЬНЫЙ ШКАФ СНОЛ-67/350И
9;Автомобильные технологические и пожарные внутренни
1;Рабочая станция Dell PT3600 Т36-39352-03 Xeon
4;Клапан- сегмент поз.145
6;Клапан Masoneilan Varipak 28-28132 Ду25 Ру40 IV Cv
3;Сигналтзатор ЩИТ2-15
9;Корпус 1021 Наполнительная станция
3;Манометр МТП_16 1216 кл. (250420), кип
0;Шкаф №1020238
9;Здание АБК Муравленковского производства Ноябрьско
1;Насос ВКС-2/26 с дв.ВАО 42/4 к-с 1212
6;Клапан Masoneilan Camflex 35-35222 Ду80 Ру40 VI Cv
9;ПОДЬЕЗД ОТ ДОРОГИ к воротам цеха 55а
3;Эл.мост КСМ3-ПИ гр 23 к-с 1214
3;Станция управления участком и интерфейс ввода/выво
11;Насос ЦГ 25/80-К-15-4 У2
4;Затвор щитовой ручной ЭЩ-Р(300х600)
2;БЛОК СИСТЕМНЫЙ INTEL CELERON 433
5;Станок сверлильный 2С-132
1;Принтер термотрансферный Zebra 105SLPlus (102-80E-
5;ТЕПЛООБМЕННИК ТСЭ-04-12
1;Клапан Vetec82.7DN50PN40(KV2035,2036,2037
6;Станок токарный 16ТО4К зав.№ 4105
9;Здание насосной
6;Кран подвесной ручной № 608 зав.№ 519
5;Насос дозировочный двухголовочный мод. N-P 32 зав.
1;Система ДВК емкости подземной Е-119 к. 1072
5;КАМЕРА № 3.4.9
7;Камера распределения перед флотаторами к.563/5
4;Таль ТРЧП-5-6 г/п 5т Н=6м (ВБИ-исполнение) к. 428
0;Телефонный аппарат Meridian M3904
5;Электропривод ВА-2-11К ТЭ099.059-11МК
2;ПРЕОБР.EJA110A-EMS4B-69DD/KS2/N4/QR
9;Корпус 1029 Склад хранения изотопа
9;"Строение ""ППНС"" в составе объекта ""Строительство и"
8;Сепаратор С-1/2 135м3 (НОиО)
2;Двухтрансформаторная подстанция ТП-1022
11;Насос антистатика Н-408
5;Автом.шлагбаум и охран.в/наблюдения
4;Контейнер № 2 у корпуса 1201Г
5;Градирня № 85 Б
3;Устройство многофункциональное Konica Minolta Bizh
3;"Павильон для курения ""Курилка КМ-6"" 5000х2000х2550"
0;Насос ЦГ-12,5/50-4-3 Н-68А
2;Дозатор Titrette
4;преобразователь ЭП 2211
4;Клапан Masoneilan Camflex 35-35112 Ду50 Ру40 IV Cv
5;Щиты управления
11;Насос 4ЦГ 50/50-К-11-5 У2 поз.Н-402(НТР,РСГ,ЩО)
1;Автоматизированный комплекс SAP
9;НАВЕС ДЛЯ ХРАНЕНИЯ ЕМК. ТИБА
0;Шкаф д/документов Р 7240, орех
4;Мешалка  2-МЕ-104 для 2-Е-104
5;Вентиляция приточная здания компр. УКГ-2
10;Сепаратор 4м3 Е-22/4
9;АВТОДОРОГА к цеху ДК -8
4;Клапан КИП  поз.1351Б 21000 88-21115
10;Трансформаторная подстанция N 14
5;Теплообменник СВВП 14-273-4000 зав.№ 920
8;Вертолетная площадка 750
6;Станок токарный универсальный 500/1000
9;Корпус 122 Пункт учета сырья
0;Таль ручная Q=5 тн S-110
0;Шкаф ШАМ-11 с полками
2;Аппарат Копировальный Konica 3331
7;CKBAЖИHA 33
11;Преобразователь изб.давления400kP
7;Блок-бокс электронного оборудования 742
8;ГАЗОПРОВОД ГОЛОВНЫЕ СООРУЖЕНИЯ
8;Коллектор К1 65-100М4
7;Блок-бокс электронного оборудования 754
4;Пробоотборное устройство ПУ-4Э
11;Панель ж/к SAMSUNG DB48E 48” FHD LED зав.номер RUB
11;Воздухосборник В-25
11;Сборник Е-120А
8;Рессивер инертного газа
0;Таль ручная Q=3.5 тн S-140
8;Расходные емкости СУГ
0;Насос G-6AS
8;Корпус 403/3 (скважина грунтовой воды)
5;Воздуходувка GHG 660 LCD Bosch
6;Клапан Masoneilan Camflex 35-35222 Ду80 Ру40 A Cv1
2;модуль вводаSIMATIC S7-300,SM331,8входов
0;Двигатель привода FP-2B
5;Закрытое распределительное устройство Б2СР ГПП-3.
8;Рессивер инертного газа
1;Кофемашина Philips Saeco HD8928/09
11;Стол островной ЛАБ-PRO, 1500х1500х900,
9;Склад арочный
10;СТАНОК ТОКАР.ВИНТОРЕЗ.
0;Насос G-6BS
6;Датчик расходомера выносной Yokogawa ROTAMASS RCCS
6;Устройство коммутации и искрозащиты УКИ в комплект
8;Базовый аппарат дыхательного аппарата изолирующего
0;Таль ручная Q=5 тн S-123
2;Коммутатор модульный CISCO Catalyst 6509
4;Система видеонаблюдения
6;Токарный станок 1М 63 ДФ 101 зав.N 113
8;Резервуар Д-206
1;Насос центробежный горизонтальный СД 800/32б, Н-1/
5;электропривод ВА 2 - ТЭ 099059
0;Кресло Престиж
11;Концентратомер нефтепродуктов ИКН-025 1.10.25.10.0
3;КАБЕЛЬНАЯ ТРАССА ОТ Ц №2 ДО Ц № 2-Е
6;УСТАНОВКА РУПИ С ИСТОЧНИКОМИ
0;Подстанция ТП-22
2;Метеостанция беспроводная DAVIS Instruments Vantag
11;Датчик изб.д-ния EJA110A-DHS2A
10;Насос 1 ЦГ  12.5/50К  4-2   Н-14/2
4;Телефонный аппарат взрывобезопасный всепогодный FH
2;СПЛИТ-СИСТЕМА DAIKIN FTX20/RS35
10;ВОРОТА ДЛЯ Ж/Д ТР.
4;Гидрозатвор БД9-3515ВО (210039), SP
9;Корпус 417 Установка пенотушения с резервуаром
0;Эл.кран подвесной г/п 5 тн к-с 1240
4;сигнализатор СТМ-10-0001 ПБ блок датчика
4;Емкость подземная ЕПП 301-012-63.01.1.3.0.3 СТО 36
1;Модуль аналоговых вх.AAI143-H00/K4A00
0;Мост автоматический КСМ-4 зав.N Н1200892
6;Клапан Masoneilan Varipak 27-28122-A  Ду25 РуANSI9
0;Насос Д 200-95 с эл.двигателем
10;Ячейка КРУ КВЭ
11;Шкаф №1 из комплектного распределительного устройс
5;Контейнер Д1 V = 100 л
7;КАМЕРА С ВЫКЛЮЧАТЕЛЕМ ВНГ-113, РАЗЪЕДИНИТЕЛЕМ РВ-6
4;Щелочная колонна
3;Стул офисный
3;Секция со стеклянными дверями
2;Датчик дифференциального давления Yokogawa ЕJA-118
4;прибор Сапфир 22ДУ-Ех-2620-02-У2-1,0-3м-42-0.620
3;Стол руководителя
8;Эстакада
9;ЗДАНИЕ ПОДСТАНЦИИ №52 С УСТАНОВЛЕННЫМ
6;Датчик уровня цифровой буйковый 12323-058 поз.LT24
2;Аккумуляторный инструмент SIGNODE BXT 2-16 - 1 шт.
4;Преобразователь EJA530A-DВS4N-07NE/KS2/D4
5;Локальная информационная сеть L-800м
10;Трансформатор ТМ-630
11;Шкаф настенный 3х секционный 600*400*515
8;ФУНДАМЕНТ ПОД КРИОГЕННУЮ ЁМКОСТЬ НИЗКОГО ДАВЛЕНИЯ
1;ВоздукхосборникЕ-007
1;Насос 3ЦГ 50/80-К-22М-4Л
5;Пожарная сигнализация и оповещение людей о пожаре
10;Оборудование КИП
4;Преобразователь дифференциального давления EJA110A
4;Шкаф управления ШУН 1000х600х450
7;Сейф TOPAZ огнестойкий BSD-1400 - 1 шт.
6;Клапан Masoneilan Camflex 35-35112 Ду200 Ру40 IV C
5;Станок деревообр.УРМ-2
7;ПОДСТАНЦИЯ
9;Здание насосной промывки и охл.газ.201/6
5;Электронный блок RDC COT-A3-2 инв. № 6947
1;Прибор Сапфир 22 МДД
9;Кабельная эстакада 583 км.
10;НАСОС 2АЦСЗх3, ТЕХ.№ 15-2
1;Ноутбук Lenovo ThinkPad X280 (20KES4WS00)
10;Насос мод.КАМ 3/6/центр/ Н-1/1
4;Теплообменник 500 ТПГ 2,5 корп.437
4;электрозадвижка 30с941нж dy50 Py16 с приводом
3;Стол лаб.1200х800х750 столеш-пласт (Л-33)
3;Анализатор TESTO в комплекте
0;Набор съемников в металлическом контейнере 10/К3Е
6;Подстанция комплектно-трансформаторная блочная КТП
5;Контейнер для перевозки триэтилалюминия в комплМПУ
5;устройство многофункциональное Xerox WorkCentre
0;Склад сборно-разборный №12
5;КАМЕРЫ УБ-ПВ
8;Шкаф пожарный с пожарными кранами к.101
4;Клапан КИП поз.1344 88-21715
8;Объект 3007 Резервуар запаса воды
9;ЭСТАКАДА  СЛИВО - НАЛИВНАЯ
11;Насос  KSB RDLO 500-685 B GB P F
6;Клапан Masoneilan 87-21115 Ду40 Ру40 IV Cv6 НО CF8
0;Насос БЭН 287 Н-38
9;Кабельная эстакада 772
8;Цист.з.ж.д. 4-х осная № 170 (нефтебензиновая)
11;"Уголок ""Буш""(офисн.раб.модуль под дерев)"
10;Межцех. технолог. и тепловые коммун-ии (
6;Кран мостовой электрический 3,2т.
2;РАСХОД.ЭЛ.МАГ.AXF200C/PNAL1L-CD21-2NB/KF
5;Трцбогиб ГСТМ-21М 10804 №112
8;АЭРАТОР-УСРЕДНИТЕЛЬ
7;Перевод стрелочный №37 к пути №17 п/м 56
1;Источник бесперебойного питания APC Smart-UPS 5000
10;МОСТ Р - 5026
9;Корпус 428 Корпус конфикционирования
6;Конденсатор выпара Е-361, Е-361
6;Холодильник Е-311, Е-311
4;ПОЛИМЕРИЗАТОР 46/69922 - 108
9;Здание цеха №25 бытовые и вспомогательные помещ.
8;Сепаратор С-502 МАУ-3
9;АВТОДОРОГА от ц 45 до открытого склада ДК-8
10;Хроматограф ЛХМ-8МД мод.-1
4;Кран КШЭФ ст.ф=100 Ру25 ОФ 2-3 с эприв AUMA
2;Компьютер Р-Ш/HP-656C/Samsung 551S
1;Коммутатор Cisco Catalyst 2960 24
6;Подстанц блочно-модульная комп.трансфор.№1
4;Рег.трубопр. арматура 35-35212 DN 50 поз.31660
9;Нежилое здание арочного типа
2;Радиостанция Motorola DP4401Ex (MDH56QCC9LA3AN)
1;Уровнемер VEGA VEGAFLEX 61 FX61.CXAGB2HAMXX L=4650
5;Инженерные сети блока биологической очистки
8;Наружные сети канализации
2;Комплект портативного терминала TETRA во взрывозащ
4;датчик Метран-100-Ех-ДИ-1150-02-МП1-t10
9;Нежилое помещение (объекта ГО в корпусе 1067)
5;Шкаф вытяжной химический Аналитика ШBEN-K1200
10;Насос центробежный №315 АХ-45/54 с эл.двигателем.
6;Блок БРКУ в комплекте
0;Ящик для ветоши
5;ТВЕРДОМЕР ЛАБ.
11;Компенсатор линз.КЛО-1000
11;Портативный калибратор СА71
11;Оборудование КИП корп. 41
3;КАБЕЛЬНАЯ ТРАССА ОТ ГПП-1 ЯЧ. 9
7;Баня 572
1;Компьютер SONY VAIO VPCL22Z1R/B/CPU Intel Core i7-
6;трансформатор ТМ-1600/6/0.4 Д/Ун-11
4;Система электрообогрева. Тех. перевооружение ВГПП.
9;Эстакада от опоры N1410 ввод в цех ДК-1
11;Насос ЕХВb 1310SS11A310
6;Клапан Masoneilan Camflex 35-35212 Ду25 Ру40 IV Cv
7;Сейф ASK- 67Т к.1001 каб. гл.бухгалтера
3;АВТОДОРОГА ц 106 между цехами насосной до дорожки
7;Перевод стрелочный  №46 к ж/д пути №42, 56п/м.
7;ТРАНСФОРМАТОР ТМ -20
11;Шкаф ВРУ1 0,4 Кв(353АК1)
3;422 МА 80 Тр-д парового конденсата от Р-0803 А/В
3;Насос ЦНСГ 38-198 УХЛ 4 ВЗГ эл/дв.37 квт 3000 об/м
10;"Холодильник ""Смоленск"""
6;ФИЛЬТР ФВ-100
6;Фрезерный станок 6720 ВФ2
5;Теплообменник Т-86
6;Преобразователь Endress+Hauser поз. PITX220E15
4;Датчик Метран-100-ДД-1422-02МПЗ-Т10-0.25-16кПа
6;МТ 100Р 11033-11-У2 (-50+80)-0,5-40kg/cm2-42-Н1
11;Насос ВКС 2/26К с дв.2,2/1000 АИМ100L6
7;Теплогазоматериалпроводы протяженность 1 601 м.п.
2;Газоанализатор Microtector G460
2;Радиостанция Hytera PD705G-UL913
4;Весы лабораторные электронные 4класса ВЛТЭ-1100 1к
11;Емкость свежей щелочи Е-115
11;Насос Н-101
6;Клапан Masoneilan 88-21715 Ду80 Ру40 IV Cv30 НЗ WC
4;Емкость V-25м3
6;Компрессорная факельных газов Т.6009
2;Комплект(термост с поверк) приспособл д/провед исп
3;Аппарат воздушного охлажд.газа Т-103/3
11;Дых.аппарат BDCompact-Z
10;КОНТЕЙНЕР ДЛЯ ПЕРЕВОЗКИ ТИБА
8;Корпус 1176 Насосная оборотного водоснабжения
7;Отделение коммерческих узлов учета газа Техничес
4;Шкаф ШО 1400х800х600 д/установки приборов к.437
6;КТП на площадке пункта мониторинга
11;Испаритель Т-709
6;Трансформаторная подстанция КТПН 810-1
10;НАСОС ТЕХН. № 24,1
11;Датчик изб.д-ния EJA430A-DBS2A-2A
3;Насос сетевой СЭ 1250\140 КЦ-402-Д
5;ФИЛЬТР ТЕХН. 311-А-1
4;Уровнемер радарный VEGAPULS 61.PS61 CXAGPHKMX
9;Комплектная трансформаторная подстанция (КТП) № 2
4;Холодильник 273 ТКГ-16-М8-0 поз.79
5;ИСПАРИТЕЛЬ
4;Затвор щитовой  с ЭЛ(нер) (1000х1000)
4;Датчик Метран-100-Ех-ДГ-1534+-02-МП1-t10
8;"Фильтр ""Криброл/МК-14"
10;РЕФРАКТОМЕТР ИРФ-454Б
6;Здание ЗРУ 10
6;Клапан Masoneilan Camflex 35-35122 VI Ду25 Ру40 Cv
9;Наливная железнодорожная эстакада на 8 стояков
4;КОНЦЕНТРАТОР
8;Эстакада  711 общ.протяж.144,0п,м
0;Вентилятор
9;Корпус 1017 Получение водорода
1;Клапан Samson 3241,DN50,PN40 (FV1142)
1;Ноутбук Lenovo ThinkPad X270 (20K5S3КМ00)
11;Турникет-трипод электромеханический PERCo-TTR-04.1
5;СЕТИ СВЯЗИ
9;Емкость Е-212/2
2;КОНДИЦИОНЕР DANTEX RK-09SDM2 (СПЛИТ
3;Оперативный узел учета газа печи для нагрева тепло
9;ЭСТАКАДА ОПОРЫ МЕТАЛ. ДО 17Ц
11;Насос 5НК-5х1 без плиты и двигателя
4;Датчик Метран-100-Ех-ДД-1422-02-МП3-t10-
5;Нефтеловушка двухсекционная
10;НАСОС ПС-100х10/6-20 ТРЕХСТУПЕНЧАТЫЙ, ПЭУ-13
3;Аквадистилятор ДЭ-4-02
8;Вертолетная площадка 723
8;Фильтр V=3,4 м3 №5. Блок осушки УПГ-2
10;ГОРИЗОНТ.-РАСТОЧНОЙ СТАНОК
2;Принтер HP LaserJet 2420DN сер.№ CNBN49QGD6
2;G-559B Насос приема перекиси водорода из контейнер
3;Сепаратор разделения газа поз. Е-206 Д Монс.
11;Эл.двигатель ВАСО-16-24
0;Станок шлифовальный переносной Unigrind КVS 369/50
6;Помещение контрольного управления (ПКУ)
8;Корпус 403/1 (скважина грунтовой воды)
8;"Сооружение ""Емкость подземная дренажная "" объекта"
3;КРАН БКШ-010-200-016-1-У-Ф1-Э-У1 КОФ ВСТ
5;ВЫКЛЮЧАТЕЛЬ ЭЛЕГАЗОВЫЙ ABB LTB 145 D1/B
5;Теплообменник Т-41
0;Набор инструментов BALTECH SA-4000
3;КАБЕЛЬНАЯ ТРАССА ОТ П / СТ. 22 ПАНЕЛЬ 4
1;Ноутбук HP EliteBook 2730p NN361EA
6;Датчик уровня ЦДУ-01/12423-031 Ду100 Ру40 3000 мм,
4;Установка для горячего водоснабжения ЛОГОС-50 350л
7;КАМЕРА КСО - 2
5;Фильтр технол. № 40/1
0;Шкаф №1020261
5;Хоз.питьевой водопровод (вид сетей В-1)
5;Благоустройство ЛОСВ
7;Перевод стрелочный №120
0;Съемник гидравлический СГА-330550 со встроенным
2;УровнемерVEGAFLEX61.CXCGB1HAМXX,L=2400mm
9;Наружные электросети блока ввода метанола
5;Механический фильтр вертикальный однокамерный
3;Емкость кубового продукта, MS-107
4;Таль ТРШБп-ExT3-1,0 У3 H=3 м ном.№ 972336
5;F-559 Емкость перекиси водорода
1;Насос Н-332/2
2;Установка для получения льда 220В, 50Гц, 0.5кВт
1;АСУ ТП системы PROGNOST-NT линия А
7;Теплогазоматериалопроводы
2;УРОВНЕМVEGAFLEX81.ACEDFFHXAMAX L=3200
9;Резервуар В1-442.00.000 Е-403/3
1;Фильтр 50 куб.м БД8-1787 поз Ф1-82 к-с 1213
1;Станция рабочая HP Z620(WM618EA) CPU Intel Xeon E5
3;Тумба под принтер
